"","FIPS","week","date","state.x","weekly_case","cum_case","summer_tmmx","summer_rmax","winter_tmmx","winter_rmax","state.y","Countynames","State_abbrev","young_perc","median_perc","old_perc","lowerthan_HS","with_HS","with_BS","Bachelor_orhigher_perc","poverty_perc","Median_HH_income","population","Black.perc","Hispanic.or.Latino.perc","area","density","q_popdensity","q_poverty","smoke_perc","obese_perc","inactive_perc","diabetes_perc","temp","parks","parks_weeks_ago1","parks_weeks_ago2","parks_weeks_ago3","parks_weeks_ago4","parks_weeks_ago5","parks_weeks_ago6","parks_weeks_ago7","parks_weeks_ago8","weeks_since_first"
"4",10001,15,2020-04-08,"Delaware",160,288,86.04433772,93.29993538,50.01669164,84.39725032,"Delaware","Kent ","DE",0.034276094,0.021866938,0.01499696,0.129,0.332,0.304,0.236,0.138,54980,357100,0.294,0.074,589.72,605.541613,5,2,0.354,0.168237595,0.312,0.131,68.03051468,5.5,6.8,-10,4.2,31,16.25,0,13.8,11.5,0
"5",10001,16,2020-04-15,"Delaware",142,430,86.04433772,93.29993538,50.01669164,84.39725032,"Delaware","Kent ","DE",0.034276094,0.021866938,0.01499696,0.129,0.332,0.304,0.236,0.138,54980,357100,0.294,0.074,589.72,605.541613,5,2,0.354,0.168237595,0.312,0.131,68.03051468,13,5.5,6.8,-10,4.2,31,16.25,0,13.8,1
"6",10001,17,2020-04-22,"Delaware",222,652,86.04433772,93.29993538,50.01669164,84.39725032,"Delaware","Kent ","DE",0.034276094,0.021866938,0.01499696,0.129,0.332,0.304,0.236,0.138,54980,357100,0.294,0.074,589.72,605.541613,5,2,0.354,0.168237595,0.312,0.131,68.03051468,3.33333333333333,13,5.5,6.8,-10,4.2,31,16.25,0,2
"7",10001,18,2020-04-29,"Delaware",181,833,86.04433772,93.29993538,50.01669164,84.39725032,"Delaware","Kent ","DE",0.034276094,0.021866938,0.01499696,0.129,0.332,0.304,0.236,0.138,54980,357100,0.294,0.074,589.72,605.541613,5,2,0.354,0.168237595,0.312,0.131,68.03051468,41.25,3.33333333333333,13,5.5,6.8,-10,4.2,31,16.25,3
"8",10001,19,2020-05-06,"Delaware",211,1044,86.04433772,93.29993538,50.01669164,84.39725032,"Delaware","Kent ","DE",0.034276094,0.021866938,0.01499696,0.129,0.332,0.304,0.236,0.138,54980,357100,0.294,0.074,589.72,605.541613,5,2,0.354,0.168237595,0.312,0.131,68.03051468,14.75,41.25,3.33333333333333,13,5.5,6.8,-10,4.2,31,4
"9",10001,20,2020-05-13,"Delaware",175,1219,86.04433772,93.29993538,50.01669164,84.39725032,"Delaware","Kent ","DE",0.034276094,0.021866938,0.01499696,0.129,0.332,0.304,0.236,0.138,54980,357100,0.294,0.074,589.72,605.541613,5,2,0.354,0.168237595,0.312,0.131,68.03051468,38.3333333333333,14.75,41.25,3.33333333333333,13,5.5,6.8,-10,4.2,5
"10",10001,21,2020-05-20,"Delaware",137,1356,86.04433772,93.29993538,50.01669164,84.39725032,"Delaware","Kent ","DE",0.034276094,0.021866938,0.01499696,0.129,0.332,0.304,0.236,0.138,54980,357100,0.294,0.074,589.72,605.541613,5,2,0.354,0.168237595,0.312,0.131,68.03051468,32,38.3333333333333,14.75,41.25,3.33333333333333,13,5.5,6.8,-10,6
"11",10001,22,2020-05-27,"Delaware",84,1440,86.04433772,93.29993538,50.01669164,84.39725032,"Delaware","Kent ","DE",0.034276094,0.021866938,0.01499696,0.129,0.332,0.304,0.236,0.138,54980,357100,0.294,0.074,589.72,605.541613,5,2,0.354,0.168237595,0.312,0.131,68.03051468,67.3333333333333,32,38.3333333333333,14.75,41.25,3.33333333333333,13,5.5,6.8,7
"12",10001,23,2020-06-03,"Delaware",73,1513,86.04433772,93.29993538,50.01669164,84.39725032,"Delaware","Kent ","DE",0.034276094,0.021866938,0.01499696,0.129,0.332,0.304,0.236,0.138,54980,357100,0.294,0.074,589.72,605.541613,5,2,0.354,0.168237595,0.312,0.131,68.03051468,65.6666666666667,67.3333333333333,32,38.3333333333333,14.75,41.25,3.33333333333333,13,5.5,8
"13",10001,24,2020-06-10,"Delaware",52,1565,86.04433772,93.29993538,50.01669164,84.39725032,"Delaware","Kent ","DE",0.034276094,0.021866938,0.01499696,0.129,0.332,0.304,0.236,0.138,54980,357100,0.294,0.074,589.72,605.541613,5,2,0.354,0.168237595,0.312,0.131,68.03051468,71,65.6666666666667,67.3333333333333,32,38.3333333333333,14.75,41.25,3.33333333333333,13,9
"14",10001,25,2020-06-17,"Delaware",55,1620,86.04433772,93.29993538,50.01669164,84.39725032,"Delaware","Kent ","DE",0.034276094,0.021866938,0.01499696,0.129,0.332,0.304,0.236,0.138,54980,357100,0.294,0.074,589.72,605.541613,5,2,0.354,0.168237595,0.312,0.131,68.03051468,46.3333333333333,71,65.6666666666667,67.3333333333333,32,38.3333333333333,14.75,41.25,3.33333333333333,10
